[2884184 - 44:600] [Key_R.txt]
[2884587 - 44:1003] [Skill_Stone_A.gtx]
[2884588 - 44:1004] [Skill_Stone_S.gtx]
[2884589 - 44:1005] [Skill_Stone_B.gtx]
[2933656 - 44:50072] [Q_Food_01.gtx]
[2933657 - 44:50073] [Q_Food_02.gtx]
[2933658 - 44:50074] [08_Valentine_1.gtx]
[2933658 - 44:50074] [j_kakao.txt]
[2933659 - 44:50075] [08_Valentine_2.gtx]
[2933659 - 44:50075] [j_sugar.txt]
[2933660 - 44:50076] [08_Valentine_3.gtx]
[2933660 - 44:50076] [j_butter.txt]
[2933787 - 44:50203] [xmaspresentCoupon.txt]
[2933638 - 44:50054] [07_M_42.txt]
[2933616 - 44:50032] [E_NewYear_tw01.gtx]
[2933617 - 44:50033] [E_NewYear_tw01.gtx]
[2933618 - 44:50034] [E_NewYear_tw01.gtx]
[2933619 - 44:50035] [E_NewYear_tw01.gtx]
[2933620 - 44:50036] [E_NewYear_tw01.gtx]
[2933621 - 44:50037] [E_NewYear_tw01.gtx]
[2933622 - 44:50038] [E_NewYear_tw01.gtx]
[2933623 - 44:50039] [E_NewYear_tw01.gtx]
[2933624 - 44:50040] [E_NewYear_tw01.gtx]
[2933625 - 44:50041] [E_NewYear_tw01.gtx]
[2933626 - 44:50042] [E_NewYear_tw01.gtx]
[2933627 - 44:50043] [E_NewYear_tw01.gtx]
[2933628 - 44:50044] [E_NewYear_tw01.gtx]
[2933629 - 44:50045] [E_NewYear_tw01.gtx]
